Timestamp Seconds,timestamp,gse1_v,gse1_i,gse1_w,ter_v,ter_i,te1_v,te1_i,batt_v,batt_i,batt_adc,temp (f),temp,pressure (atm),pressure,humidity,accel_x,accel_y,accel_z,x g's,y g's,z g's,te1,ter,te2,te3,batt,inhib1,inhib2,inhib3,pharos_pos,atlas_pos,servo_angle,pharos_moving,atlas_moving
2.839,2839,30.536,0.585,17.86356,0,-0.001,0,-0.004,0,-0.001,0.524,73.328,22.96,1.007860054,102121.42,56.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0
3.33,3330,30.536,0.585,17.86356,0,-0.001,0,-0.004,0,-0.001,0.524,73.328,22.96,1.007860054,102121.42,56.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0
3.83,3830,29.994,1.11,33.29334,0,-0.001,0,0.003,0,0,0.524,73.418,23.01,1.007884925,102123.94,56.17,1.109,-9.727,1.84,-0.1131632653,0.9925510204,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
4.33,4330,29.964,1.114,33.379896,0,0,0,0,0,0.002,0.524,73.454,23.03,1.007924007,102127.9,56.16,1.109,-9.688,1.879,-0.1131632653,0.9885714286,-0.1917346939,0,0,0,0,0,0,0,0,0,0,135,0,0
4.83,4830,29.965,1.105,33.111325,0,-0.001,0,-0.001,0,-0.003,0.524,73.49,23.05,1.007942956,102129.82,56.13,1.109,-9.727,1.84,-0.1131632653,0.9925510204,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
5.33,5330,29.994,1.067,32.003598,0,0,0,-0.003,0,-0.001,0.524,73.49,23.05,1.007985788,102134.16,56.12,1.074,-9.73,1.801,-0.1095918367,0.9928571429,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
5.859,5859,30.011,1.047,31.421517,0,0,0,0.002,0,0,0.526,73.508,23.06,1.008025068,102138.14,56.14,1.074,-9.652,1.762,-0.1095918367,0.9848979592,-0.1797959184,0,0,0,0,0,0,0,0,0,0,135,0,0
6.33,6330,30.011,1.047,31.421517,0,0,0,0.002,0,0,0.526,73.508,23.06,1.008025068,102138.14,56.14,1.074,-9.652,1.762,-0.1095918367,0.9848979592,-0.1797959184,0,0,0,0,0,0,0,0,0,0,135,0,0
6.83,6830,29.948,1.102,33.002696,0,0,0,-0.001,0,-0.001,0.524,73.526,23.07,1.008083395,102144.05,56.14,1.109,-9.688,1.84,-0.1131632653,0.9885714286,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
7.33,7330,29.896,1.133,33.872168,0,0,0,-0.001,0,-0.001,0.524,73.544,23.08,1.008149519,102150.75,56.15,1.148,-9.727,1.84,-0.1171428571,0.9925510204,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
7.83,7830,29.709,1.275,37.878975,0,-0.003,0,-0.003,0,-0.003,0.524,73.562,23.09,1.008214853,102157.37,56.19,1.109,-9.688,1.84,-0.1131632653,0.9885714286,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
8.33,8330,29.778,1.343,39.991854,0,-0.001,0,-0.003,0,-0.001,0.524,73.562,23.09,1.008193733,102155.23,56.22,1.109,-9.691,1.801,-0.1131632653,0.988877551,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
8.839,8839,29.631,1.277,37.838787,0,-0.001,0,0,0,-0.001,0.524,73.562,23.09,1.008287491,102164.73,56.27,1.074,-9.73,1.801,-0.1095918367,0.9928571429,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
9.33,9330,29.631,1.277,37.838787,0,-0.001,0,0,0,-0.001,0.524,73.562,23.09,1.008287491,102164.73,56.27,1.074,-9.73,1.801,-0.1095918367,0.9928571429,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
9.83,9830,29.75,1.243,36.97925,0,-0.003,0,-0.005,0,0,0.524,73.58,23.1,1.008262226,102162.17,56.29,1.074,-9.73,1.801,-0.1095918367,0.9928571429,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
10.33,10330,29.695,1.365,40.533675,0,0,0,-0.004,0,-0.003,0.526,73.58,23.1,1.008367925,102172.88,56.34,1.109,-9.691,1.801,-0.1131632653,0.988877551,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
10.83,10830,29.702,1.279,37.988858,0,-0.001,0,-0.006,0,0,0.524,73.598,23.11,1.00840227,102176.36,56.38,1.109,-9.727,1.84,-0.1131632653,0.9925510204,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
11.33,11330,29.669,1.238,36.730222,0,-0.001,0,0.003,0,-0.001,0.524,73.616,23.12,1.008474907,102183.72,56.43,1.109,-9.727,1.879,-0.1131632653,0.9925510204,-0.1917346939,0,0,0,0,0,0,0,0,0,0,135,0,0
11.858,11858,29.581,1.342,39.697702,0,-0.003,0,-0.001,0,0,0.524,73.616,23.12,1.008508167,102187.09,56.47,1.074,-9.727,1.762,-0.1095918367,0.9925510204,-0.1797959184,0,0,0,0,0,0,0,0,0,0,135,0,0
12.33,12330,29.581,1.342,39.697702,0,-0.003,0,-0.001,0,0,0.524,73.616,23.12,1.008508167,102187.09,56.47,1.074,-9.727,1.762,-0.1095918367,0.9925510204,-0.1797959184,0,0,0,0,0,0,0,0,0,0,135,0,0
12.83,12830,29.625,1.335,39.549375,0,-0.003,0,-0.001,0,-0.001,0.526,73.634,23.13,1.008573698,102193.73,56.51,1.109,-9.652,1.84,-0.1131632653,0.9848979592,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
13.33,13330,29.763,1.218,36.251334,0,-0.003,0,-0.004,0,-0.001,0.526,73.652,23.14,1.008572613,102193.62,56.54,1.074,-9.727,1.84,-0.1095918367,0.9925510204,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
13.83,13830,29.74,1.205,35.8367,0,-0.001,0,-0.004,0,0,0.526,73.67,23.15,1.008664693,102202.95,56.59,1.074,-9.688,1.84,-0.1095918367,0.9885714286,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
14.33,14330,29.585,1.514,44.79169,0,-0.001,0,-0.001,0,0,0.526,73.67,23.15,1.008698939,102206.42,56.63,1.148,-9.73,1.801,-0.1171428571,0.9928571429,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
14.839,14839,29.726,1.157,34.392982,0,-0.001,0,0.002,0,-0.003,0.526,73.67,23.15,1.008727362,102209.3,56.67,1.074,-9.727,1.84,-0.1095918367,0.9925510204,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
15.33,15330,29.726,1.157,34.392982,0,-0.001,0,0.002,0,-0.003,0.526,73.67,23.15,1.008727362,102209.3,56.67,1.074,-9.727,1.84,-0.1095918367,0.9925510204,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
15.83,15830,29.778,1.135,33.79803,0,-0.004,0,-0.005,0,0,0.526,73.688,23.16,1.008766445,102213.26,56.71,1.109,-9.688,1.84,-0.1131632653,0.9885714286,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
16.33,16330,29.558,1.243,36.740594,0,-0.003,0,-0.003,0,-0.001,0.526,73.706,23.17,1.008798421,102216.5,56.74,1.109,-9.691,1.801,-0.1131632653,0.988877551,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
16.83,16830,29.907,0.989,29.578023,0,-0.003,0,-0.003,0,-0.001,0.526,73.706,23.17,1.008903824,102227.18,56.77,1.109,-9.727,1.84,-0.1131632653,0.9925510204,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
17.33,17330,29.907,1.007,30.116349,0,-0.003,0,-0.004,0,0,0.526,73.742,23.19,1.008913595,102228.17,56.82,1.109,-9.652,1.84,-0.1131632653,0.9848979592,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
17.86,17860,29.904,1.013,30.292752,0,-0.004,0,-0.001,0,-0.001,0.526,73.742,23.19,1.008976363,102234.53,56.83,1.074,-9.691,1.914,-0.1095918367,0.988877551,-0.1953061224,0,0,0,0,0,0,0,0,0,0,135,0,0
18.33,18330,29.904,1.013,30.292752,0,-0.004,0,-0.001,0,-0.001,0.526,73.742,23.19,1.008976363,102234.53,56.83,1.074,-9.691,1.914,-0.1095918367,0.988877551,-0.1953061224,0,0,0,0,0,0,0,0,0,0,135,0,0
18.83,18830,29.9,1.012,30.2588,0,-0.001,0,-0.001,0,-0.001,0.526,73.76,23.2,1.008998865,102236.81,56.86,1.074,-9.688,1.84,-0.1095918367,0.9885714286,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
19.33,19330,29.905,1.004,30.02462,0,-0.004,0,-0.006,0,0,0.526,73.76,23.2,1.009051764,102242.17,56.88,1.148,-9.691,1.801,-0.1171428571,0.988877551,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
19.83,19830,29.879,1,29.879,0,-0.003,0,-0.001,0,-0.001,0.526,73.778,23.21,1.009090945,102246.14,56.91,1.148,-9.73,1.801,-0.1171428571,0.9928571429,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
20.33,20330,29.876,0.988,29.517488,0,-0.001,0,-0.005,0,-0.001,0.526,73.778,23.21,1.009125981,102249.69,56.93,1.109,-9.727,1.84,-0.1131632653,0.9925510204,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
20.839,20839,29.904,0.993,29.694672,0,-0.003,0,-0.005,0,0,0.526,73.796,23.22,1.009155983,102252.73,56.97,1.109,-9.688,1.879,-0.1131632653,0.9885714286,-0.1917346939,0,0,0,0,0,0,0,0,0,0,135,0,0
21.33,21330,29.904,0.993,29.694672,0,-0.003,0,-0.005,0,0,0.526,73.796,23.22,1.009155983,102252.73,56.97,1.109,-9.688,1.879,-0.1131632653,0.9885714286,-0.1917346939,0,0,0,0,0,0,0,0,0,0,135,0,0
21.83,21830,29.903,1.003,29.992709,0,-0.003,0,-0.009,0,-0.001,0.526,73.814,23.23,1.009192006,102256.38,57,1.074,-9.688,1.84,-0.1095918367,0.9885714286,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
22.33,22330,29.9,0.984,29.4216,0.001,-0.004,0,-0.005,0,0,0.526,73.832,23.24,1.009264051,102263.68,57.02,1.109,-9.688,1.84,-0.1131632653,0.9885714286,-0.187755102,0,0,0,0,0,0,0,0,0,0,135,0,0
22.83,22830,29.819,1.032,30.773208,0.001,-0.003,0,-0.008,0,0,0.526,73.814,23.23,1.009266716,102263.95,57.05,1.074,-9.727,1.879,-0.1095918367,0.9925510204,-0.1917346939,0,0,0,0,0,0,0,0,0,0,135,0,0
23.33,23330,29.886,0.997,29.796342,0,-0.003,0,-0.004,0,-0.001,0.526,73.85,23.25,1.009334123,102270.78,57.08,1.074,-9.691,1.801,-0.1095918367,0.988877551,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
23.859,23859,29.885,0.993,29.675805,0.001,-0.004,0,-0.008,0,-0.001,0.526,73.85,23.25,1.009373501,102274.77,57.1,1.035,-9.691,1.879,-0.1056122449,0.988877551,-0.1917346939,0,0,0,0,0,0,0,0,0,0,135,0,0
24.33,24330,29.885,0.993,29.675805,0.001,-0.004,0,-0.008,0,-0.001,0.526,73.85,23.25,1.009373501,102274.77,57.1,1.035,-9.691,1.879,-0.1056122449,0.988877551,-0.1917346939,0,0,0,0,0,0,0,0,0,0,135,0,0
24.83,24830,29.871,0.997,29.781387,0,-0.003,0,-0.008,0,-0.001,0.526,73.868,23.26,1.009421268,102279.61,57.12,1.074,-9.691,1.801,-0.1095918367,0.988877551,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
25.33,25330,29.882,0.988,29.523416,0,-0.004,0,-0.005,0,-0.001,0.526,73.886,23.27,1.009445349,102282.05,57.16,1.109,-9.691,1.801,-0.1131632653,0.988877551,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
25.83,25830,29.882,0.967,28.895894,0.001,-0.003,0,-0.01,0,0,0.526,73.886,23.27,1.009471305,102284.68,57.19,1.109,-9.691,1.801,-0.1131632653,0.988877551,-0.1837755102,0,0,0,0,0,0,0,0,0,0,135,0,0
