seconds_after_power,pressure_Pa,accel_x_m/s/s,accel_y_m/s/s,accel_z_m/s/s,gyro_x_rad/s,gyro_y_rad/s,gyro_z_rad/s,timed_event_detected_bool
5.70,98124.41,-8.015787,-5.238513,1.379060,-0.145222,0.033841,0.042101,0
5.81,98122.02,-8.015787,-5.238513,1.379060,-0.019452,0.301902,0.081271,0
5.93,98123.70,-8.015787,-5.238513,1.379060,0.110315,0.270992,0.273124,0
6.04,98125.55,-8.015787,-5.238513,1.379060,0.054625,0.172135,0.195583,0
6.15,98124.53,-8.015787,-5.238513,1.379060,1.108484,-6.477170,2.522334,0
6.26,98122.22,-8.015787,-5.238513,1.379060,3.490392,-8.172137,2.583887,0
6.38,98123.25,-8.015787,-5.238513,1.379060,-0.592879,-6.867271,1.996603,0
6.49,98122.79,-8.015787,-5.238513,1.379060,-1.047997,-4.696402,1.684309,0
6.60,98122.70,-8.015787,-5.238513,1.379060,-1.125271,-0.948074,0.407421,0
6.72,98126.76,-8.015787,-5.238513,1.379060,0.327482,8.731176,-0.816441,0
6.83,98128.13,-8.015787,-5.238513,1.379060,2.347002,8.731176,-1.363489,0
6.94,98125.26,-8.015787,-5.238513,1.379060,-1.395198,4.493890,-1.000567,0
7.05,98123.34,-8.015787,-5.238513,1.379060,-0.925691,0.684009,-2.203378,0
7.17,98123.94,-8.015787,-5.238513,1.379060,0.076741,-6.228027,-1.272092,0
7.28,98122.73,-8.015787,-5.238513,1.379060,2.684077,-8.731442,0.649369,0
7.39,98126.95,-8.015787,-5.238513,1.379060,2.102922,-2.921495,1.255305,0
7.51,98125.42,-8.015787,-5.238513,1.379060,3.036073,4.003865,-0.071678,0
7.62,98125.61,-8.015787,-5.238513,1.379060,0.773541,2.743764,-0.880392,0
7.73,98121.12,-8.015787,-5.238513,1.379060,-0.754355,4.942612,-2.732573,0
7.84,98124.89,-8.015787,-5.238513,1.379060,-1.566533,-0.884389,-1.798622,0
7.96,98124.57,-8.015787,-5.238513,1.379060,1.687507,-8.010928,0.485228,0
8.07,98125.36,-8.015787,-5.238513,1.379060,1.457816,-3.947908,1.703228,0
8.18,98125.30,-8.015787,-5.238513,1.379060,-0.930487,0.430870,0.071945,0
8.30,98121.11,-8.015787,-5.238513,1.379060,-1.980349,2.242548,-0.522000,0
8.41,98122.94,-8.015787,-5.238513,1.379060,-0.389568,-0.843354,-0.449256,0
